Year|Prov|Grade|Group|Tot|Grads|Perc
98/99| Prov |04|FRI|2252|2195|97
98/99| Prov |04|SN|523|490|94
98/99| Prov |05|ALL|49878|48422|97
98/99| Prov |05|FEM|24418|23717|97
98/99| Prov |05|MAL|25460|24705|97
98/99| Prov |05|AB|3379|3204|95
98/99| Prov |05|XAB|46499|45218|97
98/99| Prov |05|ELL|6521|6293|97
98/99| Prov |05|FRI|2083|2033|98
98/99| Prov |05|SN|561|522|93
98/99| Prov |06|ALL|49423|48024|97
98/99| Prov |06|FEM|24085|23414|97
98/99| Prov |06|MAL|25338|24610|97
98/99| Prov |06|AB|3284|3113|95
98/99| Prov |06|XAB|46139|44911|97
98/99| Prov |06|ELL|5663|5481|97
98/99| Prov |06|FRI|2889|2839|98
98/99| Prov |06|SN|551|511|93
98/99| Prov |07|ALL|48417|46937|97
98/99| Prov |07|FEM|23395|22758|97
98/99| Prov |07|MAL|25022|24179|97
98/99| Prov |07|AB|3204|3013|94
98/99| Prov |07|XAB|45213|43924|97
98/99| Prov |07|ELL|5327|5141|97
98/99| Prov |07|FRI|2443|2409|99
98/99| Prov |07|SN|603|544|90
98/99| Prov |08|ALL|52884|50237|95
98/99| Prov |08|FEM|25896|24718|95
98/99| Prov |08|MAL|26988|25519|95
98/99| Prov |08|AB|3250|2825|87
98/99| Prov |08|XAB|49634|47412|96
98/99| Prov |08|ELL|4809|4504|94
98/99| Prov |08|FRI|2407|2364|98
98/99| Prov |08|SN|640|475|74
98/99| Prov |09|ALL|52603|48991|93
98/99| Prov |09|FEM|25545|23894|94
98/99| Prov |09|MAL|27058|25097|93
98/99| Prov |09|AB|3027|2459|81
98/99| Prov |09|XAB|49576|46532|94
98/99| Prov |09|ELL|4851|4513|93
98/99| Prov |09|FRI|2171|2130|98
98/99| Prov |09|SN|630|435|69
98/99| Prov |10|ALL|52827|47015|89
98/99| Prov |10|FEM|25742|23121|90
98/99| Prov |10|MAL|27085|23894|88
98/99| Prov |10|AB|2985|2111|71
98/99| Prov |10|XAB|49842|44904|90
98/99| Prov |10|ELL|5104|4643|91
98/99| Prov |10|FRI|1993|1933|97
98/99| Prov |10|SN|679|377|56
98/99| Prov |11|ALL|54774|44098|81
98/99| Prov |11|FEM|26876|21989|82
98/99| Prov |11|MAL|27898|22109|79
98/99| Prov |11|AB|2746|1667|61
98/99| Prov |11|XAB|52028|42431|82
98/99| Prov |11|ELL|5626|4316|77
98/99| Prov |11|FRI|1684|1639|97
98/99| Prov |11|SN|512|237|46
99/00| Prov |01|ALL|46791|44997|96
99/00| Prov |01|FEM|22783|21957|96
99/00| Prov |01|MAL|24008|23040|96
99/00| Prov |01|AB|3270|3044|93
99/00| Prov |01|XAB|43521|41953|96
99/00| Prov |01|ELL|7442|7129|96
99/00| Prov |01|FRI|2928|2824|96
99/00| Prov |01|SN|782|712|91
99/00| Prov |02|ALL|48537|46931|97
99/00| Prov |02|FEM|23614|22880|97
99/00| Prov |02|MAL|24923|24051|97
99/00| Prov |02|AB|3464|3272|94
99/00| Prov |02|XAB|45073|43659|97
99/00| Prov |02|ELL|7165|6863|96
99/00| Prov |02|FRI|2552|2478|97
99/00| Prov |02|SN|1387|1319|95
99/00| Prov |03|ALL|49094|47383|97
99/00| Prov |03|FEM|23947|23111|97
99/00| Prov |03|MAL|25147|24272|97
99/00| Prov |03|AB|3587|3427|96
99/00| Prov |03|XAB|45507|43956|97
99/00| Prov |03|ELL|6383|6106|96
99/00| Prov |03|FRI|2402|2324|97
99/00| Prov |03|SN|1901|1817|96
99/00| Prov |04|ALL|50275|48739|97
99/00| Prov |04|FEM|24680|23968|97
99/00| Prov |04|MAL|25595|24771|97
99/00| Prov |04|AB|3618|3415|94
99/00| Prov |04|XAB|46657|45324|97
99/00| Prov |04|ELL|6125|5869|96
99/00| Prov |04|FRI|2124|2075|98
99/00| Prov |04|SN|2287|2168|95
99/00| Prov |05|ALL|49452|48037|97
99/00| Prov |05|FEM|24119|23465|97
99/00| Prov |05|MAL|25333|24572|97
99/00| Prov |05|AB|3510|3358|96
99/00| Prov |05|XAB|45942|44679|97
99/00| Prov |05|ELL|4018|3830|95
99/00| Prov |05|FRI|2103|2062|98
99/00| Prov |05|SN|2655|2500|94
99/00| Prov |06|ALL|50295|48857|97
99/00| Prov |06|FEM|24571|23901|97
99/00| Prov |06|MAL|25724|24956|97
99/00| Prov |06|AB|3520|3354|95
99/00| Prov |06|XAB|46775|45503|97
99/00| Prov |06|ELL|3822|3641|95
99/00| Prov |06|FRI|2878|2820|98
99/00| Prov |06|SN|2874|2742|95
99/00| Prov |07|ALL|49881|48424|97
99/00| Prov |07|FEM|24263|23582|97
99/00| Prov |07|MAL|25618|24842|97
99/00| Prov |07|AB|3481|3272|94
99/00| Prov |07|XAB|46400|45152|97
99/00| Prov |07|ELL|3244|3083|95
99/00| Prov |07|FRI|2748|2695|98
99/00| Prov |07|SN|2977|2835|95
99/00| Prov |08|ALL|49276|46673|95
99/00| Prov |08|FEM|23814|22671|95
99/00| Prov |08|MAL|25462|24002|94
99/00| Prov |08|AB|3380|2875|85
99/00| Prov |08|XAB|45896|43798|95
99/00| Prov |08|ELL|2738|2475|90
99/00| Prov |08|FRI|2134|2091|98
99/00| Prov |08|SN|3204|2811|88
99/00| Prov |09|ALL|53347|49669|93
99/00| Prov |09|FEM|26116|24420|94
99/00| Prov |09|MAL|27231|25249|93
99/00| Prov |09|AB|3398|2725|80
99/00| Prov |09|XAB|49949|46944|94
99/00| Prov |09|ELL|2786|2483|89
99/00| Prov |09|FRI|2149|2103|98
99/00| Prov |09|SN|3479|2777|80
99/00| Prov |10|ALL|54064|48377|89
99/00| Prov |10|FEM|26288|23681|90
99/00| Prov |10|MAL|27776|24696|89
99/00| Prov |10|AB|3162|2289|72
99/00| Prov |10|XAB|50902|46088|91
99/00| Prov |10|ELL|3039|2634|87
99/00| Prov |10|FRI|1947|1900|98
99/00| Prov |10|SN|3565|2550|72
99/00| Prov |11|ALL|55014|44205|80
99/00| Prov |11|FEM|27093|22112|82
99/00| Prov |11|MAL|27921|22093|79
99/00| Prov |11|AB|2941|1737|59
99/00| Prov |11|XAB|52073|42468|82
99/00| Prov |11|ELL|3556|2398|67
99/00| Prov |11|FRI|1688|1632|97
99/00| Prov |11|SN|3240|1866|58
00/01| Prov |01|ALL|46893|45188|96
00/01| Prov |01|FEM|22695|21881|96
00/01| Prov |01|MAL|24198|23307|96
00/01| Prov |01|AB|3324|3130|94
00/01| Prov |01|XAB|43569|42058|97
00/01| Prov |01|ELL|7747|7377|95
00/01| Prov |01|FRI|3158|3061|97
00/01| Prov |01|SN|734|687|94
00/01| Prov |02|ALL|47080|45633|97
00/01| Prov |02|FEM|22918|22245|97
00/01| Prov |02|MAL|24162|23388|97
00/01| Prov |02|AB|3554|3385|95
00/01| Prov |02|XAB|43526|42248|97
00/01| Prov |02|ELL|7429|7139|96
00/01| Prov |02|FRI|2761|2682|97
00/01| Prov |02|SN|1257|1191|95
00/01| Prov |03|ALL|48867|47344|97
00/01| Prov |03|FEM|23820|23139|97
00/01| Prov |03|MAL|25047|24205|97
00/01| Prov |03|AB|3657|3499|96
00/01| Prov |03|XAB|45210|43845|97
00/01| Prov |03|ELL|7002|6679|95
00/01| Prov |03|FRI|2412|2349|97
00/01| Prov |03|SN|1759|1648|94
00/01| Prov |04|ALL|49306|47874|97
00/01| Prov |04|FEM|24012|23338|97
00/01| Prov |04|MAL|25294|24536|97
00/01| Prov |04|AB|3839|3676|96
00/01| Prov |04|XAB|45467|44198|97
00/01| Prov |04|ELL|6157|5897|96
00/01| Prov |04|FRI|2259|2204|98
00/01| Prov |04|SN|2180|2068|95
00/01| Prov |05|ALL|50575|49166|97
00/01| Prov |05|FEM|24839|24175|97
00/01| Prov |05|MAL|25736|24991|97
00/01| Prov |05|AB|3809|3649|96
00/01| Prov |05|XAB|46766|45517|97
00/01| Prov |05|ELL|3950|3705|94
00/01| Prov |05|FRI|2092|2051|98
00/01| Prov |05|SN|2554|2411|94
00/01| Prov |06|ALL|49960|48629|97
00/01| Prov |06|FEM|24374|23754|97
00/01| Prov |06|MAL|25586|24875|97
00/01| Prov |06|AB|3664|3512|96
00/01| Prov |06|XAB|46296|45117|97
00/01| Prov |06|ELL|3346|3165|95
00/01| Prov |06|FRI|2991|2932|98
00/01| Prov |06|SN|2854|2737|96
00/01| Prov |07|ALL|50714|49287|97
00/01| Prov |07|FEM|24784|24106|97
00/01| Prov |07|MAL|25930|25181|97
00/01| Prov |07|AB|3665|3472|95
00/01| Prov |07|XAB|47049|45815|97
00/01| Prov |07|ELL|3330|3144|94
00/01| Prov |07|FRI|2738|2696|98
00/01| Prov |07|SN|2978|2841|95
00/01| Prov |08|ALL|50695|48158|95
00/01| Prov |08|FEM|24627|23509|95
00/01| Prov |08|MAL|26068|24649|95
00/01| Prov |08|AB|3600|3095|86
00/01| Prov |08|XAB|47095|45063|96
00/01| Prov |08|ELL|2408|2238|93
00/01| Prov |08|FRI|2393|2330|97
00/01| Prov |08|SN|3122|2707|87
00/01| Prov |09|ALL|49583|46208|93
00/01| Prov |09|FEM|23994|22434|93
00/01| Prov |09|MAL|25589|23774|93
00/01| Prov |09|AB|3344|2690|80
00/01| Prov |09|XAB|46239|43518|94
00/01| Prov |09|ELL|2436|2248|92
00/01| Prov |09|FRI|1905|1873|98
00/01| Prov |09|SN|3444|2801|81
00/01| Prov |10|ALL|54542|48865|90
00/01| Prov |10|FEM|26780|24121|90
00/01| Prov |10|MAL|27762|24744|89
00/01| Prov |10|AB|3263|2410|74
00/01| Prov |10|XAB|51279|46455|91
00/01| Prov |10|ELL|2692|2333|87
00/01| Prov |10|FRI|1856|1812|98
00/01| Prov |10|SN|3622|2590|72
00/01| Prov |11|ALL|56599|45449|80
00/01| Prov |11|FEM|27749|22561|81
00/01| Prov |11|MAL|28850|22888|79
00/01| Prov |11|AB|3160|1853|59
00/01| Prov |11|XAB|53439|43596|82
00/01| Prov |11|ELL|2942|2039|69
00/01| Prov |11|FRI|1664|1618|97
00/01| Prov |11|SN|3411|1925|56
01/02| Prov |01|ALL|45925|44070|96
01/02| Prov |01|FEM|22291|21437|96
01/02| Prov |01|MAL|23634|22633|96
01/02| Prov |01|AB|3482|3269|94
01/02| Prov |01|XAB|42443|40801|96
01/02| Prov |01|ELL|8069|7723|96
01/02| Prov |01|FRI|3236|3126|97
01/02| Prov |01|SN|739|684|93
01/02| Prov |02|ALL|47170|45601|97
01/02| Prov |02|FEM|22774|22072|97
01/02| Prov |02|MAL|24396|23529|96
01/02| Prov |02|AB|3603|3432|95
01/02| Prov |02|XAB|43567|42169|97
01/02| Prov |02|ELL|7919|7616|96
01/02| Prov |02|FRI|2928|2880|98
01/02| Prov |02|SN|1236|1152|93
01/02| Prov |03|ALL|47780|46071|96
01/02| Prov |03|FEM|23249|22437|97
01/02| Prov |03|MAL|24531|23634|96
01/02| Prov |03|AB|3730|3554|95
01/02| Prov |03|XAB|44050|42517|97
01/02| Prov |03|ELL|7349|7059|96
01/02| Prov |03|FRI|2622|2561|98
01/02| Prov |03|SN|1734|1636|94
01/02| Prov |04|ALL|49296|47766|97
01/02| Prov |04|FEM|24032|23313|97
01/02| Prov |04|MAL|25264|24453|97
01/02| Prov |04|AB|3910|3710|95
01/02| Prov |04|XAB|45386|44056|97
01/02| Prov |04|ELL|6894|6616|96
01/02| Prov |04|FRI|2236|2187|98
01/02| Prov |04|SN|2074|1982|96
01/02| Prov |05|ALL|49752|48282|97
01/02| Prov |05|FEM|24254|23565|97
01/02| Prov |05|MAL|25498|24717|97
01/02| Prov |05|AB|4095|3929|96
01/02| Prov |05|XAB|45657|44353|97
01/02| Prov |05|ELL|3862|3641|94
01/02| Prov |05|FRI|2190|2149|98
01/02| Prov |05|SN|2523|2426|96
01/02| Prov |06|ALL|51066|49650|97
01/02| Prov |06|FEM|25038|24397|97
01/02| Prov |06|MAL|26028|25253|97
01/02| Prov |06|AB|4002|3827|96
01/02| Prov |06|XAB|47064|45823|97
01/02| Prov |06|ELL|3238|3035|94
01/02| Prov |06|FRI|3078|3025|98
01/02| Prov |06|SN|2788|2675|96
01/02| Prov |07|ALL|50615|49065|97
01/02| Prov |07|FEM|24677|23956|97
01/02| Prov |07|MAL|25938|25109|97
01/02| Prov |07|AB|3895|3703|95
01/02| Prov |07|XAB|46720|45362|97
01/02| Prov |07|ELL|3049|2851|94
01/02| Prov |07|FRI|2829|2780|98
01/02| Prov |07|SN|3041|2908|96
01/02| Prov |08|ALL|51792|49097|95
01/02| Prov |08|FEM|25302|24120|95
01/02| Prov |08|MAL|26490|24977|94
01/02| Prov |08|AB|3840|3207|84
01/02| Prov |08|XAB|47952|45890|96
01/02| Prov |08|ELL|2550|2369|93
01/02| Prov |08|FRI|2335|2290|98
01/02| Prov |08|SN|3120|2715|87
01/02| Prov |09|ALL|51060|47655|93
01/02| Prov |09|FEM|24811|23301|94
01/02| Prov |09|MAL|26249|24354|93
01/02| Prov |09|AB|3604|2944|82
01/02| Prov |09|XAB|47456|44711|94
01/02| Prov |09|ELL|2298|2101|91
01/02| Prov |09|FRI|2044|2003|98
01/02| Prov |09|SN|3352|2734|82
01/02| Prov |10|ALL|51243|45767|89
01/02| Prov |10|FEM|24872|22286|90
01/02| Prov |10|MAL|26371|23481|89
01/02| Prov |10|AB|3315|2447|74
01/02| Prov |10|XAB|47928|43320|90
01/02| Prov |10|ELL|2560|2225|87
01/02| Prov |10|FRI|1639|1584|97
01/02| Prov |10|SN|3522|2553|72
01/02| Prov |11|ALL|57120|45814|80
01/02| Prov |11|FEM|28319|23090|82
01/02| Prov |11|MAL|28801|22724|79
01/02| Prov |11|AB|3187|1857|58
01/02| Prov |11|XAB|53933|43957|82
01/02| Prov |11|ELL|2816|1859|66
01/02| Prov |11|FRI|1615|1561|97
01/02| Prov |11|SN|3512|1897|54
02/03| Prov |01|ALL|44572|43072|97
02/03| Prov |01|FEM|21742|21058|97
02/03| Prov |01|MAL|22830|22014|96
02/03| Prov |01|AB|3520|3272|93
02/03| Prov |01|XAB|41052|39800|97
02/03| Prov |01|ELL|7753|7438|96
02/03| Prov |01|FRI|3481|3399|98
02/03| Prov |01|SN|601|569|95
02/03| Prov |02|ALL|45947|44505|97
02/03| Prov |02|FEM|22301|21634|97
02/03| Prov |02|MAL|23646|22871|97
02/03| Prov |02|AB|3636|3445|95
02/03| Prov |02|XAB|42311|41060|97
02/03| Prov |02|ELL|8059|7778|97
02/03| Prov |02|FRI|2986|2911|97
02/03| Prov |02|SN|1099|1040|95
02/03| Prov |03|ALL|47353|46012|97
02/03| Prov |03|FEM|22895|22286|97
02/03| Prov |03|MAL|24458|23726|97
02/03| Prov |03|AB|3759|3558|95
02/03| Prov |03|XAB|43594|42454|97
02/03| Prov |03|ELL|7741|7456|96
02/03| Prov |03|FRI|2792|2747|98
02/03| Prov |03|SN|1583|1501|95
02/03| Prov |04|ALL|47862|46490|97
02/03| Prov |04|FEM|23285|22605|97
02/03| Prov |04|MAL|24577|23885|97
02/03| Prov |04|AB|3897|3722|96
02/03| Prov |04|XAB|43965|42768|97
02/03| Prov |04|ELL|7225|6947|96
02/03| Prov |04|FRI|2465|2409|98
02/03| Prov |04|SN|2008|1906|95
02/03| Prov |05|ALL|49597|48206|97
02/03| Prov |05|FEM|24120|23459|97
02/03| Prov |05|MAL|25477|24747|97
02/03| Prov |05|AB|4046|3858|95
02/03| Prov |05|XAB|45551|44348|97
02/03| Prov |05|ELL|3829|3596|94
02/03| Prov |05|FRI|2168|2135|98
02/03| Prov |05|SN|2425|2342|97
02/03| Prov |06|ALL|50160|48757|97
02/03| Prov |06|FEM|24443|23795|97
02/03| Prov |06|MAL|25717|24962|97
02/03| Prov |06|AB|4201|4005|95
02/03| Prov |06|XAB|45959|44752|97
02/03| Prov |06|ELL|3172|2953|93
02/03| Prov |06|FRI|3202|3150|98
02/03| Prov |06|SN|2745|2650|97
02/03| Prov |07|ALL|51583|50148|97
02/03| Prov |07|FEM|25245|24602|97
02/03| Prov |07|MAL|26338|25546|97
02/03| Prov |07|AB|4155|3947|95
02/03| Prov |07|XAB|47428|46201|97
02/03| Prov |07|ELL|2974|2804|94
02/03| Prov |07|FRI|2837|2805|99
02/03| Prov |07|SN|2931|2797|95
02/03| Prov |08|ALL|51598|49110|95
02/03| Prov |08|FEM|25121|23988|95
02/03| Prov |08|MAL|26477|25122|95
02/03| Prov |08|AB|4094|3491|85
02/03| Prov |08|XAB|47504|45619|96
02/03| Prov |08|ELL|2409|2250|93
02/03| Prov |08|FRI|2403|2357|98
02/03| Prov |08|SN|3146|2752|87
02/03| Prov |09|ALL|52021|48852|94
02/03| Prov |09|FEM|25456|23971|94
02/03| Prov |09|MAL|26565|24881|94
02/03| Prov |09|AB|3673|3020|82
02/03| Prov |09|XAB|48348|45832|95
02/03| Prov |09|ELL|2302|2125|92
02/03| Prov |09|FRI|2074|2039|98
02/03| Prov |09|SN|3284|2732|83
02/03| Prov |10|ALL|52708|47276|90
02/03| Prov |10|FEM|25880|23247|90
02/03| Prov |10|MAL|26828|24029|90
02/03| Prov |10|AB|3487|2578|74
02/03| Prov |10|XAB|49221|44698|91
02/03| Prov |10|ELL|2338|2070|89
02/03| Prov |10|FRI|1784|1755|98
02/03| Prov |10|SN|3419|2525|74
02/03| Prov |11|ALL|53830|43339|81
02/03| Prov |11|FEM|26356|21446|81
02/03| Prov |11|MAL|27474|21893|80
02/03| Prov |11|AB|3298|1984|60
02/03| Prov |11|XAB|50532|41355|82
02/03| Prov |11|ELL|2513|1674|67
02/03| Prov |11|FRI|1383|1338|97
02/03| Prov |11|SN|3074|1937|63
03/04| Prov |01|ALL|43323|41777|96
03/04| Prov |01|FEM|21058|20343|97
03/04| Prov |01|MAL|22265|21434|96
03/04| Prov |01|AB|5201|4936|95
03/04| Prov |01|XAB|38122|36841|97
03/04| Prov |01|ELL|7763|7396|95
03/04| Prov |01|FRI|3597|3500|97
03/04| Prov |01|SN|579|536|93
03/04| Prov |02|ALL|45146|43790|97
03/04| Prov |02|FEM|22028|21395|97
03/04| Prov |02|MAL|23118|22395|97
03/04| Prov |02|AB|5443|5239|96
03/04| Prov |02|XAB|39703|38551|97
03/04| Prov |02|ELL|7923|7557|95
03/04| Prov |02|FRI|3224|3159|98
03/04| Prov |02|SN|1074|1023|95
03/04| Prov |03|ALL|46636|45283|97
03/04| Prov |03|FEM|22640|22036|97
03/04| Prov |03|MAL|23996|23247|97
03/04| Prov |03|AB|5629|5420|96
03/04| Prov |03|XAB|41007|39863|97
03/04| Prov |03|ELL|7970|7666|96
03/04| Prov |03|FRI|2812|2746|98
03/04| Prov |03|SN|1594|1537|96
03/04| Prov |04|ALL|48106|46746|97
03/04| Prov |04|FEM|23279|22651|97
03/04| Prov |04|MAL|24827|24095|97
03/04| Prov |04|AB|5571|5383|97
03/04| Prov |04|XAB|42535|41363|97
03/04| Prov |04|ELL|7615|7292|96
03/04| Prov |04|FRI|2613|2557|98
03/04| Prov |04|SN|2083|1990|96
03/04| Prov |05|ALL|48493|47167|97
03/04| Prov |05|FEM|23557|22924|97
03/04| Prov |05|MAL|24936|24243|97
03/04| Prov |05|AB|5528|5335|97
03/04| Prov |05|XAB|42965|41832|97
03/04| Prov |05|ELL|4015|3765|94
03/04| Prov |05|FRI|2373|2334|98
03/04| Prov |05|SN|2377|2299|97
03/04| Prov |06|ALL|50268|48855|97
03/04| Prov |06|FEM|24450|23805|97
03/04| Prov |06|MAL|25818|25050|97
03/04| Prov |06|AB|5593|5421|97
03/04| Prov |06|XAB|44675|43434|97
03/04| Prov |06|ELL|3140|2940|94
03/04| Prov |06|FRI|3279|3228|98
03/04| Prov |06|SN|2785|2682|96
03/04| Prov |07|ALL|50761|49407|97
03/04| Prov |07|FEM|24689|24091|98
03/04| Prov |07|MAL|26072|25316|97
03/04| Prov |07|AB|5618|5416|96
03/04| Prov |07|XAB|45143|43991|97
03/04| Prov |07|ELL|2901|2720|94
03/04| Prov |07|FRI|3043|3006|99
03/04| Prov |07|SN|2977|2869|96
03/04| Prov |08|ALL|52665|50121|95
03/04| Prov |08|FEM|25777|24632|96
03/04| Prov |08|MAL|26888|25489|95
03/04| Prov |08|AB|5412|4735|87
03/04| Prov |08|XAB|47253|45386|96
03/04| Prov |08|ELL|2358|2196|93
03/04| Prov |08|FRI|2489|2449|98
03/04| Prov |08|SN|3208|2839|88
03/04| Prov |09|ALL|52212|48906|94
03/04| Prov |09|FEM|25381|23908|94
03/04| Prov |09|MAL|26831|24998|93
03/04| Prov |09|AB|4921|4133|84
03/04| Prov |09|XAB|47291|44773|95
03/04| Prov |09|ELL|2287|2077|91
03/04| Prov |09|FRI|2098|2079|99
03/04| Prov |09|SN|3442|2884|84
03/04| Prov |10|ALL|53886|48805|91
03/04| Prov |10|FEM|26483|24111|91
03/04| Prov |10|MAL|27403|24694|90
03/04| Prov |10|AB|4297|3335|78
03/04| Prov |10|XAB|49589|45470|92
03/04| Prov |10|ELL|2334|2036|87
03/04| Prov |10|FRI|1801|1756|98
03/04| Prov |10|SN|3451|2671|77
03/04| Prov |11|ALL|54923|44877|82
03/04| Prov |11|FEM|27116|22395|83
03/04| Prov |11|MAL|27807|22482|81
03/04| Prov |11|AB|3856|2459|64
03/04| Prov |11|XAB|51067|42418|83
03/04| Prov |11|ELL|2264|1559|69
03/04| Prov |11|FRI|1534|1478|96
03/04| Prov |11|SN|3127|2054|66
04/05| Prov |01|ALL|42246|40830|97
04/05| Prov |01|FEM|20729|20104|97
04/05| Prov |01|MAL|21517|20726|96
04/05| Prov |01|AB|5076|4834|95
04/05| Prov |01|XAB|37170|35996|97
04/05| Prov |01|ELL|7692|7378|96
04/05| Prov |01|FRI|3867|3769|97
04/05| Prov |01|SN|588|549|93
04/05| Prov |02|ALL|43644|42397|97
04/05| Prov |02|FEM|21174|20604|97
04/05| Prov |02|MAL|22470|21793|97
04/05| Prov |02|AB|5219|5023|96
04/05| Prov |02|XAB|38425|37374|97
04/05| Prov |02|ELL|7837|7517|96
04/05| Prov |02|FRI|3374|3305|98
04/05| Prov |02|SN|1042|1002|96
04/05| Prov |03|ALL|45706|44449|97
04/05| Prov |03|FEM|22276|21688|97
04/05| Prov |03|MAL|23430|22761|97
04/05| Prov |03|AB|5522|5333|97
04/05| Prov |03|XAB|40184|39116|97
04/05| Prov |03|ELL|7841|7555|96
04/05| Prov |03|FRI|3040|2986|98
04/05| Prov |03|SN|1622|1557|96
04/05| Prov |04|ALL|47215|45873|97
04/05| Prov |04|FEM|22975|22359|97
04/05| Prov |04|MAL|24240|23514|97
04/05| Prov |04|AB|5650|5452|96
04/05| Prov |04|XAB|41565|40421|97
04/05| Prov |04|ELL|7812|7513|96
04/05| Prov |04|FRI|2625|2582|98
04/05| Prov |04|SN|2123|2045|96
04/05| Prov |05|ALL|48779|47371|97
04/05| Prov |05|FEM|23626|22976|97
04/05| Prov |05|MAL|25153|24395|97
04/05| Prov |05|AB|5594|5414|97
04/05| Prov |05|XAB|43185|41957|97
04/05| Prov |05|ELL|4196|3955|94
04/05| Prov |05|FRI|2636|2601|99
04/05| Prov |05|SN|2533|2427|96
04/05| Prov |06|ALL|49188|47767|97
04/05| Prov |06|FEM|23861|23211|97
04/05| Prov |06|MAL|25327|24556|97
04/05| Prov |06|AB|5537|5353|97
04/05| Prov |06|XAB|43651|42414|97
04/05| Prov |06|ELL|3169|2971|94
04/05| Prov |06|FRI|3701|3650|99
04/05| Prov |06|SN|2758|2665|97
04/05| Prov |07|ALL|50855|49500|97
04/05| Prov |07|FEM|24775|24184|98
04/05| Prov |07|MAL|26080|25316|97
04/05| Prov |07|AB|5605|5358|96
04/05| Prov |07|XAB|45250|44142|98
04/05| Prov |07|ELL|2950|2780|94
04/05| Prov |07|FRI|3083|3056|99
04/05| Prov |07|SN|3050|2960|97
04/05| Prov |08|ALL|51955|49571|95
04/05| Prov |08|FEM|25191|24156|96
04/05| Prov |08|MAL|26764|25415|95
04/05| Prov |08|AB|5765|5118|89
04/05| Prov |08|XAB|46190|44453|96
04/05| Prov |08|ELL|2378|2169|91
04/05| Prov |08|FRI|2706|2673|99
04/05| Prov |08|SN|3308|2971|90
04/05| Prov |09|ALL|53102|50013|94
04/05| Prov |09|FEM|25994|24557|94
04/05| Prov |09|MAL|27108|25456|94
04/05| Prov |09|AB|5213|4390|84
04/05| Prov |09|XAB|47889|45623|95
04/05| Prov |09|ELL|2319|2083|90
04/05| Prov |09|FRI|2179|2157|99
04/05| Prov |09|SN|3495|2943|84
04/05| Prov |10|ALL|53335|48044|90
04/05| Prov |10|FEM|26132|23602|90
04/05| Prov |10|MAL|27203|24442|90
04/05| Prov |10|AB|4723|3544|75
04/05| Prov |10|XAB|48612|44500|92
04/05| Prov |10|ELL|2295|1964|86
04/05| Prov |10|FRI|1870|1842|99
04/05| Prov |10|SN|3628|2706|75
04/05| Prov |11|ALL|56803|46637|82
04/05| Prov |11|FEM|28177|23273|83
04/05| Prov |11|MAL|28626|23364|82
04/05| Prov |11|AB|4466|2720|61
04/05| Prov |11|XAB|52337|43917|84
04/05| Prov |11|ELL|2345|1684|72
04/05| Prov |11|FRI|1598|1555|97
04/05| Prov |11|SN|3570|2259|63
05/06| Prov |01|ALL|41541|40153|97
05/06| Prov |01|FEM|20246|19606|97
05/06| Prov |01|MAL|21295|20547|96
05/06| Prov |01|AB|4876|4654|95
05/06| Prov |01|XAB|36665|35499|97
05/06| Prov |01|ELL|7805|7495|96
05/06| Prov |01|FRI|4143|4037|97
05/06| Prov |01|SN|558|524|94
05/06| Prov |02|ALL|42859|41555|97
05/06| Prov |02|FEM|21034|20428|97
05/06| Prov |02|MAL|21825|21127|97
05/06| Prov |02|AB|5140|4940|96
05/06| Prov |02|XAB|37719|36615|97
05/06| Prov |02|ELL|8054|7746|96
05/06| Prov |02|FRI|3701|3619|98
05/06| Prov |02|SN|1072|1022|95
05/06| Prov |03|ALL|44343|43011|97
05/06| Prov |03|FEM|21527|20902|97
05/06| Prov |03|MAL|22816|22109|97
05/06| Prov |03|AB|5276|5091|96
05/06| Prov |03|XAB|39067|37920|97
05/06| Prov |03|ELL|7932|7624|96
05/06| Prov |03|FRI|3215|3146|98
05/06| Prov |03|SN|1508|1442|96
05/06| Prov |04|ALL|46522|45139|97
05/06| Prov |04|FEM|22650|22011|97
05/06| Prov |04|MAL|23872|23128|97
05/06| Prov |04|AB|5567|5370|96
05/06| Prov |04|XAB|40955|39769|97
05/06| Prov |04|ELL|7934|7633|96
05/06| Prov |04|FRI|2867|2799|98
05/06| Prov |04|SN|2162|2068|96
05/06| Prov |05|ALL|47959|46497|97
05/06| Prov |05|FEM|23357|22655|97
05/06| Prov |05|MAL|24602|23842|97
05/06| Prov |05|AB|5640|5464|97
05/06| Prov |05|XAB|42319|41033|97
05/06| Prov |05|ELL|4353|4138|95
05/06| Prov |05|FRI|2687|2644|98
05/06| Prov |05|SN|2543|2464|97
05/06| Prov |06|ALL|49704|48110|97
05/06| Prov |06|FEM|24014|23278|97
05/06| Prov |06|MAL|25690|24832|97
05/06| Prov |06|AB|5626|5453|97
05/06| Prov |06|XAB|44078|42657|97
05/06| Prov |06|ELL|3555|3346|94
05/06| Prov |06|FRI|4022|3965|99
05/06| Prov |06|SN|2843|2750|97
05/06| Prov |07|ALL|49869|48299|97
05/06| Prov |07|FEM|24202|23515|97
05/06| Prov |07|MAL|25667|24784|97
05/06| Prov |07|AB|5542|5318|96
05/06| Prov |07|XAB|44327|42981|97
05/06| Prov |07|ELL|3029|2847|94
05/06| Prov |07|FRI|3507|3460|99
05/06| Prov |07|SN|3100|2993|97
05/06| Prov |08|ALL|52082|49678|95
