Year|Prov|Grade|Group|Tot|Grads|Perc
92/93| Prov |06|FEM|22272|21669|97
92/93| Prov |06|MAL|23134|22405|97
92/93| Prov |06|AB|2141|2014|94
92/93| Prov |06|XAB|43265|42060|97
92/93| Prov |06|ELL|3810|3644|96
92/93| Prov |06|FRI|3260|3212|99
92/93| Prov |06|SN|0|0|
92/93| Prov |07|ALL|44263|42832|97
92/93| Prov |07|FEM|21679|21037|97
92/93| Prov |07|MAL|22584|21795|97
92/93| Prov |07|AB|1919|1761|92
92/93| Prov |07|XAB|42344|41071|97
92/93| Prov |07|ELL|3580|3395|95
92/93| Prov |07|FRI|2885|2838|98
92/93| Prov |07|SN|0|0|
92/93| Prov |08|ALL|43885|40913|93
92/93| Prov |08|FEM|21435|20150|94
92/93| Prov |08|MAL|22450|20763|92
92/93| Prov |08|AB|2159|1683|78
92/93| Prov |08|XAB|41726|39230|94
92/93| Prov |08|ELL|2677|2502|93
92/93| Prov |08|FRI|2426|2369|98
92/93| Prov |08|SN|0|0|
92/93| Prov |09|ALL|42718|38779|91
92/93| Prov |09|FEM|20939|19189|92
92/93| Prov |09|MAL|21779|19590|90
92/93| Prov |09|AB|2005|1451|72
92/93| Prov |09|XAB|40713|37328|92
92/93| Prov |09|ELL|3062|2769|90
92/93| Prov |09|FRI|1894|1838|97
92/93| Prov |09|SN|0|0|
92/93| Prov |10|ALL|43180|37135|86
92/93| Prov |10|FEM|21039|18283|87
92/93| Prov |10|MAL|22141|18852|85
92/93| Prov |10|AB|2009|1281|64
92/93| Prov |10|XAB|41171|35854|87
92/93| Prov |10|ELL|3400|3065|90
92/93| Prov |10|FRI|1463|1406|96
92/93| Prov |10|SN|0|0|
92/93| Prov |11|ALL|43850|33947|77
92/93| Prov |11|FEM|21678|17008|78
92/93| Prov |11|MAL|22172|16939|76
92/93| Prov |11|AB|1692|1017|60
92/93| Prov |11|XAB|42158|32930|78
92/93| Prov |11|ELL|3622|2841|78
92/93| Prov |11|FRI|1012|965|95
92/93| Prov |11|SN|0|0|
93/94| Prov |01|ALL|45660|44583|98
93/94| Prov |01|FEM|22219|21692|98
93/94| Prov |01|MAL|23441|22891|98
93/94| Prov |01|AB|2351|2231|95
93/94| Prov |01|XAB|43309|42352|98
93/94| Prov |01|ELL|4819|4663|97
93/94| Prov |01|FRI|2655|2591|98
93/94| Prov |01|SN|0|0|
93/94| Prov |02|ALL|46128|45018|98
93/94| Prov |02|FEM|22409|21882|98
93/94| Prov |02|MAL|23719|23136|98
93/94| Prov |02|AB|2501|2398|96
93/94| Prov |02|XAB|43627|42620|98
93/94| Prov |02|ELL|4698|4541|97
93/94| Prov |02|FRI|2428|2391|98
93/94| Prov |02|SN|0|0|
93/94| Prov |03|ALL|47484|45058|95
93/94| Prov |03|FEM|23024|22058|96
93/94| Prov |03|MAL|24460|23000|94
93/94| Prov |03|AB|2495|2188|88
93/94| Prov |03|XAB|44989|42870|95
93/94| Prov |03|ELL|4780|4486|94
93/94| Prov |03|FRI|2562|2479|97
93/94| Prov |03|SN|0|0|
93/94| Prov |04|ALL|48702|47297|97
93/94| Prov |04|FEM|23673|23035|97
93/94| Prov |04|MAL|25029|24262|97
93/94| Prov |04|AB|2510|2379|95
93/94| Prov |04|XAB|46192|44918|97
93/94| Prov |04|ELL|4520|4327|96
93/94| Prov |04|FRI|2504|2457|98
93/94| Prov |04|SN|0|0|
93/94| Prov |05|ALL|48068|46819|97
93/94| Prov |05|FEM|23259|22709|98
93/94| Prov |05|MAL|24809|24110|97
93/94| Prov |05|AB|2520|2393|95
93/94| Prov |05|XAB|45548|44426|98
93/94| Prov |05|ELL|4177|4000|96
93/94| Prov |05|FRI|2630|2590|98
93/94| Prov |05|SN|0|0|
93/94| Prov |06|ALL|47870|46592|97
93/94| Prov |06|FEM|23261|22706|98
93/94| Prov |06|MAL|24609|23886|97
93/94| Prov |06|AB|2470|2324|94
93/94| Prov |06|XAB|45400|44268|98
93/94| Prov |06|ELL|4121|3974|96
93/94| Prov |06|FRI|3415|3365|99
93/94| Prov |06|SN|0|0|
93/94| Prov |07|ALL|46330|44925|97
